full_description,Connector,Action,Description
The connector named rapid7 insightvm has an action named connector which can be used for following - Integration for Rapid7 insightVM,rapid7 insightvm,connector,Integration for Rapid7 insightVM
The connector named swimlane ioc result aggregator has an action named aggregate_ioc_results which can be used for following - Combine results from IOC lookup sources,swimlane ioc result aggregator,aggregate_ioc_results,Combine results from IOC lookup sources
The connector named swimlane ioc result aggregator has an action named connector which can be used for following - Combine results from IOC lookup sources,swimlane ioc result aggregator,connector,Combine results from IOC lookup sources
The connector named recorded future has an action named alert_lookup which can be used for following - Lookup Alert Notification,recorded future,alert_lookup,Lookup Alert Notification
The connector named recorded future has an action named bulk_ioc_enrichment which can be used for following - Enrich a large amount of IOCs in RF,recorded future,bulk_ioc_enrichment,Enrich a large amount of IOCs in RF
The connector named recorded future has an action named domain_lookup which can be used for following - Lookup for Domain,recorded future,domain_lookup,Lookup for Domain
The connector named recorded future has an action named get_domain_risk_list which can be used for following - Get Domain Risk List,recorded future,get_domain_risk_list,Get Domain Risk List
The connector named recorded future has an action named get_domain_risk_rules which can be used for following - Get Domain Risk Rules,recorded future,get_domain_risk_rules,Get Domain Risk Rules
The connector named recorded future has an action named get_hash_risk_list which can be used for following - Get Hash Risk List,recorded future,get_hash_risk_list,Get Hash Risk List
The connector named recorded future has an action named get_hash_risk_rules which can be used for following - Get Hash Risk Rules,recorded future,get_hash_risk_rules,Get Hash Risk Rules
The connector named recorded future has an action named get_identities_lookup_subjects which can be used for following - Gets Identities From Subjects,recorded future,get_identities_lookup_subjects,Gets Identities From Subjects
The connector named recorded future has an action named get_identities_search_domains which can be used for following - Get Identities From Domains,recorded future,get_identities_search_domains,Get Identities From Domains
The connector named recorded future has an action named get_ip_risk_list which can be used for following - Get IP Risk List,recorded future,get_ip_risk_list,Get IP Risk List
The connector named recorded future has an action named get_url_risk_list which can be used for following - Get URL Risk List,recorded future,get_url_risk_list,Get URL Risk List
The connector named recorded future has an action named get_url_risk_rules which can be used for following - Get URL Risk Rules,recorded future,get_url_risk_rules,Get URL Risk Rules
The connector named recorded future has an action named get_vulnerability_risk_list which can be used for following - Get Vulnerability Risk List,recorded future,get_vulnerability_risk_list,Get Vulnerability Risk List
The connector named recorded future has an action named get_vulnerability_risk_rules which can be used for following - Get Vulnerability Risk Rules,recorded future,get_vulnerability_risk_rules,Get Vulnerability Risk Rules
The connector named recorded future has an action named hash_lookup which can be used for following - Lookup for Hash,recorded future,hash_lookup,Lookup for Hash
The connector named recorded future has an action named ip_lookup which can be used for following - Lookup for IP,recorded future,ip_lookup,Lookup for IP
The connector named recorded future has an action named list_ip_risk_rules which can be used for following - List IP Risk Rules,recorded future,list_ip_risk_rules,List IP Risk Rules
The connector named recorded future has an action named lookup_vulnerability which can be used for following - Lookup Vulnerability,recorded future,lookup_vulnerability,Lookup Vulnerability
The connector named recorded future has an action named malware_lookup which can be used for following - Malware Lookup,recorded future,malware_lookup,Malware Lookup
The connector named recorded future has an action named search which can be used for following - Searches for alerts based upon a set of filters.,recorded future,search,Searches for alerts based upon a set of filters.
The connector named recorded future has an action named search_alert_rules which can be used for following - Search Alert Rules,recorded future,search_alert_rules,Search Alert Rules
The connector named recorded future has an action named url_lookup which can be used for following - Lookup for URL,recorded future,url_lookup,Lookup for URL
The connector named recorded future has an action named apikey which can be used for following - Authenticates using an API Key,recorded future,apikey,Authenticates using an API Key
The connector named recorded future has an action named connector which can be used for following - Recorded Future API,recorded future,connector,Recorded Future API
The connector named rapid7 insightidr has an action named add_indicators_to_threat which can be used for following - Add indicators to a threat with the given threat key.,rapid7 insightidr,add_indicators_to_threat,Add indicators to a threat with the given threat key.
"The connector named rapid7 insightidr has an action named assign_user_to_investigation which can be used for following - Assign a user to the specified investigation. The user must be a platform administrator, product administrator, or read/write user with access to either InsightIDR or InsightUBA.",rapid7 insightidr,assign_user_to_investigation,"Assign a user to the specified investigation. The user must be a platform administrator, product administrator, or read/write user with access to either InsightIDR or InsightUBA."
The connector named rapid7 insightidr has an action named bulk_close_investigations which can be used for following - Close all investigations that match the parameters provided.,rapid7 insightidr,bulk_close_investigations,Close all investigations that match the parameters provided.
"The connector named rapid7 insightidr has an action named create_custom_threat which can be used for following - Creates a Custom Threat in Rapid7 IDR containing IPs, hashes, domains and URLs.",rapid7 insightidr,create_custom_threat,"Creates a Custom Threat in Rapid7 IDR containing IPs, hashes, domains and URLs."
The connector named rapid7 insightidr has an action named get_a_saved_query which can be used for following - Used to query your Log using a Saved Query.,rapid7 insightidr,get_a_saved_query,Used to query your Log using a Saved Query.
The connector named rapid7 insightidr has an action named get_investigations which can be used for following - Retrieve investigations matching the given parameters.,rapid7 insightidr,get_investigations,Retrieve investigations matching the given parameters.
The connector named rapid7 insightidr has an action named get_log which can be used for following - Get log from specific ID,rapid7 insightidr,get_log,Get log from specific ID
The connector named rapid7 insightidr has an action named get_logs which can be used for following - Get all logs,rapid7 insightidr,get_logs,Get all logs
The connector named rapid7 insightidr has an action named get_query which can be used for following - Query your Log entries using a LEQL query.,rapid7 insightidr,get_query,Query your Log entries using a LEQL query.
The connector named rapid7 insightidr has an action named list_query_endpoints which can be used for following - List all Query API endpoints,rapid7 insightidr,list_query_endpoints,List all Query API endpoints
The connector named rapid7 insightidr has an action named query_individual_log_sets which can be used for following - Query Individual Log Sets,rapid7 insightidr,query_individual_log_sets,Query Individual Log Sets
The connector named rapid7 insightidr has an action named query_individual_logs which can be used for following - Query Individual Logs,rapid7 insightidr,query_individual_logs,Query Individual Logs
The connector named rapid7 insightidr has an action named query_multiple_log_sets which can be used for following - Query Multiple Log Sets,rapid7 insightidr,query_multiple_log_sets,Query Multiple Log Sets
The connector named rapid7 insightidr has an action named query_multiple_logs which can be used for following - Query Multiple Logs,rapid7 insightidr,query_multiple_logs,Query Multiple Logs
The connector named rapid7 insightidr has an action named replace_indicators_for_threat which can be used for following - Replace indicators for a threat with the given threat key.,rapid7 insightidr,replace_indicators_for_threat,Replace indicators for a threat with the given threat key.
The connector named rapid7 insightidr has an action named set_investigation_status which can be used for following - Set the status of the investigation with the given id.,rapid7 insightidr,set_investigation_status,Set the status of the investigation with the given id.
The connector named rapid7 insightidr has an action named apikey which can be used for following - Authenticates using an API Key,rapid7 insightidr,apikey,Authenticates using an API Key
The connector named rapid7 insightidr has an action named connector which can be used for following - Interface with the Rapid7 insightIDR API.,rapid7 insightidr,connector,Interface with the Rapid7 insightIDR API.
The connector named swimlane http has an action named http_request which can be used for following - Build and send a generic HTTP request,swimlane http,http_request,Build and send a generic HTTP request
The connector named swimlane http has an action named apikey which can be used for following - Authenticates using an API Key,swimlane http,apikey,Authenticates using an API Key
The connector named swimlane http has an action named http_basic which can be used for following - Authenticates using username and password.,swimlane http,http_basic,Authenticates using username and password.
"The connector named swimlane http has an action named http_bearer which can be used for following - Authenticates using bearer token such as a JWT, etc.",swimlane http,http_bearer,"Authenticates using bearer token such as a JWT, etc."
The connector named swimlane http has an action named oauth2_client_credentials which can be used for following - Authenticates using oauth 2.0 client credentials,swimlane http,oauth2_client_credentials,Authenticates using oauth 2.0 client credentials
The connector named swimlane http has an action named connector which can be used for following - Build your own HTTP request,swimlane http,connector,Build your own HTTP request
The connector named swimlane ssh has an action named command_run which can be used for following - Runs a command on an SSH server,swimlane ssh,command_run,Runs a command on an SSH server
The connector named swimlane ssh has an action named file_get which can be used for following - Get a file,swimlane ssh,file_get,Get a file
The connector named swimlane ssh has an action named file_put which can be used for following - Put a file,swimlane ssh,file_put,Put a file
The connector named swimlane ssh has an action named ssh_auth which can be used for following - SSH Authentication,swimlane ssh,ssh_auth,SSH Authentication
The connector named swimlane ssh has an action named connector which can be used for following - SSH Connector,swimlane ssh,connector,SSH Connector
The connector named rapid7 intsights threat command has an action named add_manual_alert which can be used for following - Add manual alert. Returns new Alert ID,rapid7 intsights threat command,add_manual_alert,Add manual alert. Returns new Alert ID
The connector named rapid7 intsights threat command has an action named assign_alert which can be used for following - Assign an Alert to an Assignee by ID,rapid7 intsights threat command,assign_alert,Assign an Alert to an Assignee by ID
The connector named rapid7 intsights threat command has an action named close_alert which can be used for following - Close alert,rapid7 intsights threat command,close_alert,Close alert
The connector named rapid7 intsights threat command has an action named get_alert which can be used for following - Get Alert By ID,rapid7 intsights threat command,get_alert,Get Alert By ID
The connector named rapid7 intsights threat command has an action named get_alert_activity_log which can be used for following - Get an Alerts Activity Log,rapid7 intsights threat command,get_alert_activity_log,Get an Alerts Activity Log
The connector named rapid7 intsights threat command has an action named get_alert_csv which can be used for following - Get an Alerts CSV,rapid7 intsights threat command,get_alert_csv,Get an Alerts CSV
The connector named rapid7 intsights threat command has an action named get_alert_html_content which can be used for following - Get Alerts Website HTML Content,rapid7 intsights threat command,get_alert_html_content,Get Alerts Website HTML Content
The connector named rapid7 intsights threat command has an action named get_alert_image which can be used for following - Get an Alerts Image,rapid7 intsights threat command,get_alert_image,Get an Alerts Image
The connector named rapid7 intsights threat command has an action named get_alert_report_status which can be used for following - Get an Alerts Report Status,rapid7 intsights threat command,get_alert_report_status,Get an Alerts Report Status
The connector named rapid7 intsights threat command has an action named get_alert_takedown_status which can be used for following - Get an Alerts Takedown Status,rapid7 intsights threat command,get_alert_takedown_status,Get an Alerts Takedown Status
The connector named rapid7 intsights threat command has an action named get_alert_whois_file which can be used for following - Get phishing alerts WHOIS text file,rapid7 intsights threat command,get_alert_whois_file,Get phishing alerts WHOIS text file
The connector named rapid7 intsights threat command has an action named get_alerts which can be used for following - Get All Alerts,rapid7 intsights threat command,get_alerts,Get All Alerts
The connector named rapid7 intsights threat command has an action named takedown_request which can be used for following - Send take-down request for the selected alert,rapid7 intsights threat command,takedown_request,Send take-down request for the selected alert
The connector named rapid7 intsights threat command has an action named unassign_alert which can be used for following - Unassign an Alert,rapid7 intsights threat command,unassign_alert,Unassign an Alert
The connector named rapid7 intsights threat command has an action named http_basic which can be used for following - Authenticates using username and password.,rapid7 intsights threat command,http_basic,Authenticates using username and password.
The connector named rapid7 intsights threat command has an action named connector which can be used for following - Threat Command API,rapid7 intsights threat command,connector,Threat Command API
The connector named microsoft safelinks has an action named decode_urls which can be used for following - Decode Microsoft Safelinks URLs,microsoft safelinks,decode_urls,Decode Microsoft Safelinks URLs
The connector named microsoft safelinks has an action named report_ms_verdict which can be used for following - Report MS Verdict if link is allowed/blocked,microsoft safelinks,report_ms_verdict,Report MS Verdict if link is allowed/blocked
The connector named microsoft safelinks has an action named connector which can be used for following - Decode Microsoft Safelinks URLs,microsoft safelinks,connector,Decode Microsoft Safelinks URLs
The connector named threatconnect has an action named indicators_fetch_all which can be used for following - Get indicators,threatconnect,indicators_fetch_all,Get indicators
The connector named threatconnect has an action named indicators_get which can be used for following - Get a single indicator,threatconnect,indicators_get,Get a single indicator
The connector named threatconnect has an action named indicators_get_by_incident_id which can be used for following - Get indicators by incident ID,threatconnect,indicators_get_by_incident_id,Get indicators by incident ID
The connector named threatconnect has an action named tags_get which can be used for following - Get tags by incident ID,threatconnect,tags_get,Get tags by incident ID
The connector named threatconnect has an action named threatconnect_hmac which can be used for following - Authenticates using HMAC,threatconnect,threatconnect_hmac,Authenticates using HMAC
The connector named threatconnect has an action named connector which can be used for following - ThreatConnect Connector,threatconnect,connector,ThreatConnect Connector
The connector named microsoft teams has an action named channel_add_member which can be used for following - Add a conversationMember to a channel. This operation is allowed only for channels with a membershipType value of private or shared,microsoft teams,channel_add_member,Add a conversationMember to a channel. This operation is allowed only for channels with a membershipType value of private or shared
The connector named microsoft teams has an action named channel_create which can be used for following - Create a new channel in a team,microsoft teams,channel_create,Create a new channel in a team
The connector named microsoft teams has an action named channel_get_filesfolder which can be used for following - Get the metadata for the location where the files of a channel are stored,microsoft teams,channel_get_filesfolder,Get the metadata for the location where the files of a channel are stored
The connector named microsoft teams has an action named channel_list_messages which can be used for following - Retrieve the list of messages (without the replies) in a channel of a team,microsoft teams,channel_list_messages,Retrieve the list of messages (without the replies) in a channel of a team
The connector named microsoft teams has an action named channel_reply_message which can be used for following - Send a new reply to a chatMessage in a specified channel,microsoft teams,channel_reply_message,Send a new reply to a chatMessage in a specified channel
The connector named microsoft teams has an action named channel_send_message which can be used for following - Send a new chatMessage in the specified channel,microsoft teams,channel_send_message,Send a new chatMessage in the specified channel
The connector named microsoft teams has an action named chat_create which can be used for following - Create a new chat object,microsoft teams,chat_create,Create a new chat object
The connector named microsoft teams has an action named chat_send_message which can be used for following - Send a new chatMessage in the specified chat,microsoft teams,chat_send_message,Send a new chatMessage in the specified chat
The connector named microsoft teams has an action named team_add_member which can be used for following - Add a new conversationMember to a team,microsoft teams,team_add_member,Add a new conversationMember to a team
The connector named microsoft teams has an action named team_create which can be used for following - Create a new team,microsoft teams,team_create,Create a new team
The connector named microsoft teams has an action named oauth2_password which can be used for following - Authenticates using oauth 2.0 client credentials,microsoft teams,oauth2_password,Authenticates using oauth 2.0 client credentials
The connector named microsoft teams has an action named connector which can be used for following - Microsoft Teams Connector,microsoft teams,connector,Microsoft Teams Connector
The connector named powershell has an action named get_transport_rule which can be used for following - View transport rules (mail flow rules) in your organization,powershell,get_transport_rule,View transport rules (mail flow rules) in your organization
The connector named powershell has an action named new_transport_rule which can be used for following - Create transport rules (mail flow rules) in your organization,powershell,new_transport_rule,Create transport rules (mail flow rules) in your organization
The connector named powershell has an action named remove_transport_rule which can be used for following - Use the Remove-TransportRule cmdlet to remove transport rules (mail flow rules) from your organization,powershell,remove_transport_rule,Use the Remove-TransportRule cmdlet to remove transport rules (mail flow rules) from your organization
The connector named powershell has an action named set_tenant_allow_block_list_items which can be used for following - Modify entries in the Tenant Allow/Block List,powershell,set_tenant_allow_block_list_items,Modify entries in the Tenant Allow/Block List
The connector named powershell has an action named set_transport_rule which can be used for following - Modify existing transport rules (mail flow rules) in your organization,powershell,set_transport_rule,Modify existing transport rules (mail flow rules) in your organization
The connector named powershell has an action named http_basic which can be used for following - Authenticates using username and password.,powershell,http_basic,Authenticates using username and password.
The connector named powershell has an action named connector which can be used for following - Microsoft Exchange Online Powershell,powershell,connector,Microsoft Exchange Online Powershell
The connector named netskope has an action named get_alerts which can be used for following - Get Alerts,netskope,get_alerts,Get Alerts
The connector named netskope has an action named get_application_events which can be used for following - Get Application Events,netskope,get_application_events,Get Application Events
The connector named netskope has an action named get_audit_events which can be used for following - Get Audit Events,netskope,get_audit_events,Get Audit Events
The connector named netskope has an action named get_infrastructure_events which can be used for following - Get Infrastructure Events,netskope,get_infrastructure_events,Get Infrastructure Events
The connector named netskope has an action named get_network_events which can be used for following - Get Network Events,netskope,get_network_events,Get Network Events
The connector named netskope has an action named get_page_events which can be used for following - Get Page Events,netskope,get_page_events,Get Page Events
The connector named netskope has an action named get_url_list_by_id which can be used for following - Get URL list by ID,netskope,get_url_list_by_id,Get URL list by ID
The connector named netskope has an action named patch_url_list which can be used for following - Patch URL list,netskope,patch_url_list,Patch URL list
The connector named netskope has an action named apikey which can be used for following - Authenticates using an API Key,netskope,apikey,Authenticates using an API Key
The connector named netskope has an action named connector which can be used for following - Netskope Connector,netskope,connector,Netskope Connector
The connector named google workspace has an action named alertcenter_alerts_batch_delete which can be used for following - Performs batch delete operation on alerts,google workspace,alertcenter_alerts_batch_delete,Performs batch delete operation on alerts
The connector named google workspace has an action named alertcenter_alerts_batch_undelete which can be used for following - Performs batch undelete operation on alerts,google workspace,alertcenter_alerts_batch_undelete,Performs batch undelete operation on alerts
The connector named google workspace has an action named alertcenter_alerts_delete which can be used for following - Marks the specified alert for deletion,google workspace,alertcenter_alerts_delete,Marks the specified alert for deletion
The connector named google workspace has an action named alertcenter_alerts_list which can be used for following - Lists the alerts,google workspace,alertcenter_alerts_list,Lists the alerts
"The connector named google workspace has an action named alertcenter_alerts_undelete which can be used for following - Restores, or undeletes, an alert that was marked for deletion within the past 30 days",google workspace,alertcenter_alerts_undelete,"Restores, or undeletes, an alert that was marked for deletion within the past 30 days"
The connector named google workspace has an action named drive_file_delete which can be used for following - Delete file from workspace,google workspace,drive_file_delete,Delete file from workspace
The connector named google workspace has an action named drive_file_list which can be used for following - Retrive files from workspace,google workspace,drive_file_list,Retrive files from workspace
The connector named google workspace has an action named drive_file_upload which can be used for following - Uploads file to Drive,google workspace,drive_file_upload,Uploads file to Drive
The connector named google workspace has an action named gmail_emails_attachment_get which can be used for following - Get an Attachment from an Email,google workspace,gmail_emails_attachment_get,Get an Attachment from an Email
The connector named google workspace has an action named gmail_emails_delete which can be used for following - Immediately and permanently deletes the specified message,google workspace,gmail_emails_delete,Immediately and permanently deletes the specified message
The connector named google workspace has an action named gmail_emails_get which can be used for following - Get an email from GMAIL by ID,google workspace,gmail_emails_get,Get an email from GMAIL by ID
The connector named google workspace has an action named gmail_emails_list which can be used for following - List GMail emails,google workspace,gmail_emails_list,List GMail emails
"The connector named google workspace has an action named gmail_emails_send which can be used for following - Sends the specified message to the recipients in the TO, CC, and BCC headers",google workspace,gmail_emails_send,"Sends the specified message to the recipients in the TO, CC, and BCC headers"
The connector named google workspace has an action named gmail_labels_list which can be used for following - List Labels in Gmail,google workspace,gmail_labels_list,List Labels in Gmail
The connector named google workspace has an action named gmail_labels_modify which can be used for following - Modifies the labels on the specified message,google workspace,gmail_labels_modify,Modifies the labels on the specified message
The connector named google workspace has an action named gmail_set_read_status which can be used for following - Set an email read status,google workspace,gmail_set_read_status,Set an email read status
The connector named google workspace has an action named mobile_devices_action which can be used for following - Takes an action that affects a mobile device,google workspace,mobile_devices_action,Takes an action that affects a mobile device
The connector named google workspace has an action named mobile_devices_delete which can be used for following - Removes a mobile device,google workspace,mobile_devices_delete,Removes a mobile device
The connector named google workspace has an action named mobile_devices_get which can be used for following - Retrieves a mobile devices properties,google workspace,mobile_devices_get,Retrieves a mobile devices properties
The connector named google workspace has an action named mobile_devices_list which can be used for following - Retrieves a paginated list of all user-owned mobile devices for an account,google workspace,mobile_devices_list,Retrieves a paginated list of all user-owned mobile devices for an account
The connector named google workspace has an action named vault_matters_close which can be used for following - Closes the specified matter,google workspace,vault_matters_close,Closes the specified matter
"The connector named google workspace has an action named vault_matters_create which can be used for following - Creates a matter with the given name and description. The initial state is open, and the owner is the method caller",google workspace,vault_matters_create,"Creates a matter with the given name and description. The initial state is open, and the owner is the method caller"
The connector named google workspace has an action named vault_matters_exports_create which can be used for following - Creates an export,google workspace,vault_matters_exports_create,Creates an export
The connector named google workspace has an action named vault_matters_exports_get which can be used for following - Gets an export,google workspace,vault_matters_exports_get,Gets an export
The connector named google workspace has an action named vault_matters_exports_list which can be used for following - Lists details about the exports in the specified matter,google workspace,vault_matters_exports_list,Lists details about the exports in the specified matter
The connector named google workspace has an action named vault_matters_get which can be used for following - Gets the specified matter,google workspace,vault_matters_get,Gets the specified matter
The connector named google workspace has an action named vault_matters_holds_create which can be used for following - Creates a hold in the specified matter,google workspace,vault_matters_holds_create,Creates a hold in the specified matter
The connector named google workspace has an action named vault_matters_list which can be used for following - Lists matters the requestor has access to,google workspace,vault_matters_list,Lists matters the requestor has access to
The connector named google workspace has an action named google_oauth2 which can be used for following - Authenticates using Google credentials,google workspace,google_oauth2,Authenticates using Google credentials
The connector named google workspace has an action named connector which can be used for following - Google Workspace,google workspace,connector,Google Workspace
The connector named swimlane render html has an action named render_html which can be used for following - Renders the HTML content of an email as a jpg image,swimlane render html,render_html,Renders the HTML content of an email as a jpg image
The connector named swimlane render html has an action named http_basic which can be used for following - Authenticates using username and password.,swimlane render html,http_basic,Authenticates using username and password.
The connector named swimlane render html has an action named connector which can be used for following - Render the HTML content of an email as an image,swimlane render html,connector,Render the HTML content of an email as an image
"The connector named ipqualityscore has an action named email_validation which can be used for following - Detect fraudulent email addresses, spam traps, and honeypots",ipqualityscore,email_validation,"Detect fraudulent email addresses, spam traps, and honeypots"
"The connector named ipqualityscore has an action named proxy_and_vpn_detection which can be used for following - Provides over 25 data points for risk analysis, geo location, and IP intelligence.",ipqualityscore,proxy_and_vpn_detection,"Provides over 25 data points for risk analysis, geo location, and IP intelligence."
"The connector named ipqualityscore has an action named report_fraudulent_address which can be used for following - This data trains your accounts machine learning algorithms that identify high risk behavior among your users, clicks, and transactions.",ipqualityscore,report_fraudulent_address,"This data trains your accounts machine learning algorithms that identify high risk behavior among your users, clicks, and transactions."
"The connector named ipqualityscore has an action named retrieve_previous_requests which can be used for following - Allows you to retrieve previous Proxy Detection API, Email Validation API and Device Fingerprinting technology requests based on the date they occurred.",ipqualityscore,retrieve_previous_requests,"Allows you to retrieve previous Proxy Detection API, Email Validation API and Device Fingerprinting technology requests based on the date they occurred."
The connector named ipqualityscore has an action named apikey which can be used for following - Authenticates using an API Key,ipqualityscore,apikey,Authenticates using an API Key
The connector named ipqualityscore has an action named connector which can be used for following - Risk analysis APIs to proactively prevent fraud.,ipqualityscore,connector,Risk analysis APIs to proactively prevent fraud.
The connector named aws s3 has an action named download_file which can be used for following - Download an S3 File,aws s3,download_file,Download an S3 File
The connector named aws s3 has an action named get_buckets which can be used for following - Get S3 Buckets,aws s3,get_buckets,Get S3 Buckets
The connector named aws s3 has an action named get_object which can be used for following - Get an S3 Object,aws s3,get_object,Get an S3 Object
The connector named aws s3 has an action named get_objects which can be used for following - Get a list of Objects,aws s3,get_objects,Get a list of Objects
The connector named aws s3 has an action named aws_s3 which can be used for following - Authenticates using AWS credentials,aws s3,aws_s3,Authenticates using AWS credentials
The connector named aws s3 has an action named connector which can be used for following - Amazon S3 Connector,aws s3,connector,Amazon S3 Connector
The connector named incident report creation has an action named create_incident_report which can be used for following - Create an After Action Report,incident report creation,create_incident_report,Create an After Action Report
The connector named incident report creation has an action named custom which can be used for following - Authenticates using an Personal Access Token,incident report creation,custom,Authenticates using an Personal Access Token
The connector named incident report creation has an action named connector which can be used for following - Create an After Action Report,incident report creation,connector,Create an After Action Report
The connector named native python has an action named run which can be used for following - Python script for manipulating data,native python,run,Python script for manipulating data
The connector named native python has an action named connector which can be used for following - Python script for manipulating data,native python,connector,Python script for manipulating data
The connector named vmware carbon black edr has an action named binary_details which can be used for following - Get binary details by MD5 hash.,vmware carbon black edr,binary_details,Get binary details by MD5 hash.
The connector named vmware carbon black edr has an action named block_unblock_md5_hash which can be used for following - Isolate a file or remove from isolation,vmware carbon black edr,block_unblock_md5_hash,Isolate a file or remove from isolation
The connector named vmware carbon black edr has an action named get_alerts which can be used for following - Get Alerts,vmware carbon black edr,get_alerts,Get Alerts
The connector named vmware carbon black edr has an action named get_sensors which can be used for following - Get sensors,vmware carbon black edr,get_sensors,Get sensors
The connector named vmware carbon black edr has an action named list_banned_md5_hashes which can be used for following - Returns a list of banned MD5 hashes.,vmware carbon black edr,list_banned_md5_hashes,Returns a list of banned MD5 hashes.
The connector named vmware carbon black edr has an action named md5_search which can be used for following - Returns details for MD5s provided.,vmware carbon black edr,md5_search,Returns details for MD5s provided.
The connector named vmware carbon black edr has an action named modify_sensor which can be used for following - Modifies sensor,vmware carbon black edr,modify_sensor,Modifies sensor
The connector named vmware carbon black edr has an action named process_search which can be used for following - Query processes,vmware carbon black edr,process_search,Query processes
The connector named vmware carbon black edr has an action named apikey which can be used for following - Authenticates using an API Key,vmware carbon black edr,apikey,Authenticates using an API Key
The connector named vmware carbon black edr has an action named connector which can be used for following - Carbon Black EDR on-premise,vmware carbon black edr,connector,Carbon Black EDR on-premise
The connector named akamai has an action named http_request which can be used for following - Build and send a generic HTTP request to Akamai,akamai,http_request,Build and send a generic HTTP request to Akamai
The connector named akamai has an action named edge_grid which can be used for following - Authenticates using Edge Grid Auth,akamai,edge_grid,Authenticates using Edge Grid Auth
The connector named akamai has an action named connector which can be used for following - Akamai Connector,akamai,connector,Akamai Connector
The connector named jsonata has an action named evaluate which can be used for following - JSONata evaluator for transforming and querying data.,jsonata,evaluate,JSONata evaluator for transforming and querying data.
The connector named jsonata has an action named connector which can be used for following - JSONata actions,jsonata,connector,JSONata actions
The connector named atlassian jira has an action named attachment_add which can be used for following - Adds attachment to an issue,atlassian jira,attachment_add,Adds attachment to an issue
The connector named atlassian jira has an action named attachment_delete which can be used for following - Deletes an attachment from an issue,atlassian jira,attachment_delete,Deletes an attachment from an issue
The connector named atlassian jira has an action named issue_comment which can be used for following - Adds a comment to an issue,atlassian jira,issue_comment,Adds a comment to an issue
"The connector named atlassian jira has an action named issue_create which can be used for following - Creates an issue or, where the option to create subtasks is enabled in Jira, a subtask",atlassian jira,issue_create,"Creates an issue or, where the option to create subtasks is enabled in Jira, a subtask"
The connector named atlassian jira has an action named issue_edit which can be used for following - Edits an issue,atlassian jira,issue_edit,Edits an issue
The connector named atlassian jira has an action named issue_get which can be used for following - Returns the details for an issue,atlassian jira,issue_get,Returns the details for an issue
The connector named atlassian jira has an action named search which can be used for following - Searches for issues using JQL,atlassian jira,search,Searches for issues using JQL
The connector named atlassian jira has an action named http_basic which can be used for following - Authenticates using username and password.,atlassian jira,http_basic,Authenticates using username and password.
